Date;light target;light real;co2 target;co2 real;temp1;temp2;temp3;temp4;box_humidity;box_temperature;time elapsed
25.05.2021 16:23:24;121;121;5;4,92;39,2;31,1;34,5;35,6;66,4000009894371;40,2000005990267;723
25.05.2021 16:23:28;121;121;5;5,01;39,2;31,1;34,5;35,6;66,4000009894371;40,2000005990267;724
25.05.2021 16:23:31;121;121;5;5;38,1;30;34,5;35,6;66,4000009894371;40,2000005990267;725
25.05.2021 16:23:35;121;121;5;5,01;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;726
25.05.2021 16:23:38;121;121;5;5,04;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;727
25.05.2021 16:23:42;121;121;5;5;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;728
25.05.2021 16:23:46;121;121;5;5;38,1;30;34,5;35,6;66,4000009894371;40,2000005990267;729
25.05.2021 16:23:49;121;121;5;4,96;38,1;30;34,5;35,6;66,4000009894371;40,2000005990267;730
25.05.2021 16:23:53;121;121;5;4,99;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;731
25.05.2021 16:23:56;121;121;5;4,93;38,1;30;34,5;35,6;66,4000009894371;40,2000005990267;732
25.05.2021 16:24:00;121;121;5;4,96;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;733
25.05.2021 16:24:04;121;121;5;4,98;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;734
25.05.2021 16:24:07;121;121;5;4,98;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;735
25.05.2021 16:24:11;121;121;5;4,97;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;736
25.05.2021 16:24:14;121;121;5;4,99;39,2;31,1;34,5;35,6;66,4000009894371;40,2000005990267;737
25.05.2021 16:24:18;121;121;5;5;38,1;31,1;34,5;35,6;66,4000009894371;40,2000005990267;738
25.05.2021 16:24:22;121;121;5;4,97;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;739
25.05.2021 16:24:25;121;121;5;5;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;740
25.05.2021 16:24:29;121;121;5;5,04;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;741
25.05.2021 16:24:32;121;121;5;5,06;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;742
25.05.2021 16:24:36;121;121;5;5,09;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;743
25.05.2021 16:24:40;121;121;5;5,07;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;744
25.05.2021 16:24:43;121;121;5;5,09;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;745
25.05.2021 16:24:47;121;121;5;5,05;39,2;30;34,5;35,6;66,300000987947;40,2000005990267;746
25.05.2021 16:24:50;121;121;5;5,01;39,2;30;34,5;35,6;66,300000987947;40,2000005990267;747
25.05.2021 16:24:54;121;121;5;5;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;748
25.05.2021 16:24:58;121;121;5;5;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;749
25.05.2021 16:25:01;121;121;5;5;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;750
25.05.2021 16:25:05;121;121;5;5,01;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;751
25.05.2021 16:25:08;121;121;5;4,95;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;752
25.05.2021 16:25:12;121;121;5;4,98;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;753
25.05.2021 16:25:16;121;121;5;4,99;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;754
25.05.2021 16:25:19;121;121;5;5,02;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;755
25.05.2021 16:25:23;121;121;5;5,03;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;756
25.05.2021 16:25:26;121;121;5;5,04;39,2;31,1;34,5;35,6;66,300000987947;40,2000005990267;757
25.05.2021 16:25:30;121;121;5;5,01;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;758
25.05.2021 16:25:34;121;121;5;4,98;38,1;31,1;34,5;35,6;66,300000987947;40,2000005990267;759
25.05.2021 16:25:37;121;121;5;4,96;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;760
25.05.2021 16:25:41;121;121;5;4,94;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;761
25.05.2021 16:25:44;121;121;5;4,96;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;762
25.05.2021 16:25:48;121;121;5;4,91;39,2;30;34,5;35,6;66,300000987947;40,3000006005168;763
25.05.2021 16:25:52;121;121;5;4,88;39,2;30;34,5;35,6;66,300000987947;40,3000006005168;764
25.05.2021 16:25:55;121;121;5;4,86;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;765
25.05.2021 16:25:59;121;121;5;4,85;39,2;30;34,5;35,6;66,300000987947;40,3000006005168;766
25.05.2021 16:26:02;121;121;5;4,88;39,2;30;34,5;35,6;66,300000987947;40,3000006005168;767
25.05.2021 16:26:06;121;121;5;4,89;38,1;31,1;34,5;36,8;66,300000987947;40,3000006005168;768
25.05.2021 16:26:10;121;121;5;4,91;38,1;31,1;33,3;35,6;66,300000987947;40,3000006005168;769
25.05.2021 16:26:13;121;121;5;4,89;38,1;31,1;33,3;35,6;66,300000987947;40,3000006005168;770
25.05.2021 16:26:17;121;121;5;4,89;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;771
25.05.2021 16:26:20;121;121;5;4,92;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;772
25.05.2021 16:26:24;121;121;5;4,98;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;773
25.05.2021 16:26:28;121;121;5;4,98;39,2;31,1;34,5;35,6;66,300000987947;40,3000006005168;774
25.05.2021 16:26:31;121;121;5;4,96;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;775
25.05.2021 16:26:35;121;121;5;4,91;38,1;31,1;34,5;35,6;66,300000987947;40,3000006005168;776
25.05.2021 16:26:38;121;121;5;4,92;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;777
25.05.2021 16:26:42;121;121;5;4,95;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;778
25.05.2021 16:26:46;121;121;5;5;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;779
25.05.2021 16:26:49;121;121;5;5,01;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;780
25.05.2021 16:26:53;121;121;5;5,01;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;781
25.05.2021 16:26:56;121;121;5;4,97;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;782
25.05.2021 16:27:00;121;121;5;5,01;38,1;30;34,5;35,6;66,2000009864569;40,3000006005168;783
25.05.2021 16:27:04;121;121;5;5,01;38,1;30;34,5;35,6;66,2000009864569;40,3000006005168;784
25.05.2021 16:27:07;121;121;5;4,98;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;785
25.05.2021 16:27:11;121;121;5;4,92;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;786
25.05.2021 16:27:14;121;121;5;4,89;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;787
25.05.2021 16:27:18;121;121;5;4,91;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;788
25.05.2021 16:27:22;121;121;5;4,95;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;789
25.05.2021 16:27:25;121;121;5;4,93;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;790
25.05.2021 16:27:29;121;121;5;4,95;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;791
25.05.2021 16:27:32;121;121;5;4,95;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;792
25.05.2021 16:27:36;121;121;5;4,92;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;793
25.05.2021 16:27:40;121;121;5;4,91;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;794
25.05.2021 16:27:43;121;121;5;4,96;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;795
25.05.2021 16:27:47;121;121;5;4,95;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;796
25.05.2021 16:27:50;121;121;5;4,93;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;797
25.05.2021 16:27:54;121;121;5;4,94;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;798
25.05.2021 16:27:58;121;121;5;4,93;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;799
25.05.2021 16:28:01;121;121;5;4,98;38,1;31,1;34,5;35,6;66,2000009864569;40,3000006005168;800
25.05.2021 16:28:05;121;121;5;4,98;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;801
25.05.2021 16:28:08;121;121;5;5,03;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;802
25.05.2021 16:28:12;121;121;5;5;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;803
25.05.2021 16:28:16;121;121;5;5,03;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;804
25.05.2021 16:28:19;121;121;5;5,05;39,2;30;34,5;35,6;66,2000009864569;40,3000006005168;805
25.05.2021 16:28:23;121;121;5;5,11;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;806
25.05.2021 16:28:26;121;121;5;5,12;39,2;31,1;34,5;35,6;66,2000009864569;40,3000006005168;807
25.05.2021 16:28:30;121;121;5;5,1;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;808
25.05.2021 16:28:34;121;121;5;5,11;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;809
25.05.2021 16:28:37;121;121;5;5,13;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;810
25.05.2021 16:28:41;121;121;5;5,07;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;811
25.05.2021 16:28:44;121;121;5;5,02;38,1;31,1;34,5;35,6;66,1000009849668;40,3000006005168;812
25.05.2021 16:28:48;121;121;5;5,07;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;813
25.05.2021 16:28:52;121;121;5;5,05;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;814
25.05.2021 16:28:55;121;121;5;4,98;38,1;31,1;34,5;35,6;66,1000009849668;40,3000006005168;815
25.05.2021 16:28:59;121;121;5;4,98;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;816
25.05.2021 16:29:02;121;121;5;4,99;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;817
25.05.2021 16:29:06;121;121;5;5,01;38,1;31,1;34,5;35,6;66,1000009849668;40,3000006005168;818
25.05.2021 16:29:10;121;121;5;5,02;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;819
25.05.2021 16:29:13;121;121;5;5,04;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;820
25.05.2021 16:29:17;121;121;5;5,06;39,2;31,1;34,5;35,6;66,1000009849668;40,3000006005168;821
